ECID,Type,Name,Unit,Pointer,Max,Min,Default,Comment
1616,FT_8_TYPE,Ad 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAd1],60,-60,0,Ad 1 Individual Temperature
1617,FT_8_TYPE,Ba 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBa1],60,-60,0,Ba 1 Individual Temperature
1618,FT_8_TYPE,Bb 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBb1],60,-60,0,Bb 1 Individual Temperature
1619,FT_8_TYPE,Bc 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBc1],60,-60,0,Bc 1 Individual Temperature
1620,FT_8_TYPE,Bd 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBd1],60,-60,0,Bd 1 Individual Temperature
1621,FT_8_TYPE,Aa 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAa2],60,-60,0,Aa 2 Individual Temperature
1622,FT_8_TYPE,Ab 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAb2],60,-60,0,Ab 2 Individual Temperature
1623,FT_8_TYPE,Ac 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAc2],60,-60,0,Ac 2 Individual Temperature
1624,FT_8_TYPE,Ad 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAd2],60,-60,0,Ad 2 Individual Temperature
1625,FT_8_TYPE,Ba 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBa2],60,-60,0,Ba 2 Individual Temperature
1626,FT_8_TYPE,Bb 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBb2],60,-60,0,Bb 2 Individual Temperature
1627,FT_8_TYPE,Bc 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBc2],60,-60,0,Bc 2 Individual Temperature
1628,FT_8_TYPE,Bd 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBd2],60,-60,0,Bd 2 Individual Temperature
1629,FT_8_TYPE,Heat Gun 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHeatGun1],60,-60,0,Heat Gun 1 Individual Temperature
1630,FT_8_TYPE,Heat Gun 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHeatGun2],60,-60,0,Heat Gun 2 Individual Temperature
1631,FT_8_TYPE,DUT 3 Individual Temperature,,&IniConfig.dSingleTempLimit[tcDUT3],60,-60,0,DUT 3 Individual Temperature
1632,FT_8_TYPE,DUT 4 Individual Temperature,,&IniConfig.dSingleTempLimit[tcDUT4],60,-60,0,DUT 4 Individual Temperature
1633,FT_8_TYPE,Socket Individual Temperature,,&IniConfig.dSingleTempLimit[tcSocket],60,-60,0,Socket Individual Temperature
1634,FT_8_TYPE,Ae 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAe1],60,-60,0,Ae 1 Individual Temperature
1635,FT_8_TYPE,Af 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAf1],60,-60,0,Af 1 Individual Temperature
1636,FT_8_TYPE,Ag 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAg1],60,-60,0,Ag 1 Individual Temperature
1637,FT_8_TYPE,Ah 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAh1],60,-60,0,Ah 1 Individual Temperature
1638,FT_8_TYPE,Be 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBe1],60,-60,0,Be 1 Individual Temperature
1639,FT_8_TYPE,Bf 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBf1],60,-60,0,Bf 1 Individual Temperature
1640,FT_8_TYPE,Bg 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBg1],60,-60,0,Bg 1 Individual Temperature
1641,FT_8_TYPE,Bh 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBh1],60,-60,0,Bh 1 Individual Temperature
1642,FT_8_TYPE,Ae 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAe2],60,-60,0,Ae 2 Individual Temperature
1643,FT_8_TYPE,Af 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAf2],60,-60,0,Af 2 Individual Temperature
1644,FT_8_TYPE,Ag 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAg2],60,-60,0,Ag 2 Individual Temperature
1645,FT_8_TYPE,Ah 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAh2],60,-60,0,Ah 2 Individual Temperature
1646,FT_8_TYPE,Be 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBe2],60,-60,0,Be 2 Individual Temperature
1647,FT_8_TYPE,Bf 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBf2],60,-60,0,Bf 2 Individual Temperature
1648,FT_8_TYPE,Bg 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBg2],60,-60,0,Bg 2 Individual Temperature
1649,FT_8_TYPE,Bh 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBh2],60,-60,0,Bh 2 Individual Temperature
1701,BOOLEAN_TYPE,Check 2DID allow list function,,&TestIF_File.b2DIDAllowList,,,,Check 2DID allow list function
2001,FT_8_TYPE,Arm Total Force KG,KG,&DeviceForm_File.dPress,,,,Arm Total Force KG
2010,INT_4_TYPE,Head Device Count,,&DeviceForm_File.iHeadDeviceCT,6,2,2,2:1 Device with 1 Compliance Unit; 3:2 Device with 1 Compliance Unit; 4:4 Device with 1 Compliance Unit; 5:2 Device with 4 Compliance Unit; 6:8 Device with 1 Compliance Unit;
2011,FT_8_TYPE,X-Dimension,mm,&DeviceForm_File.XDimension,,1,3,X Dimension of IC
2012,FT_8_TYPE,Y-Dimension,mm,&DeviceForm_File.YDimension,,1,3,Y Dimension of IC
2013,FT_8_TYPE,Kit Diameter,,&DeviceForm_File.dKitDiameter,3,0,0,0: 30mm; 1: 40mm; 2: 60mm;  3: 56mm;
2021,FT_8_TYPE,Die Force KG,Kg,&DeviceForm_File.DoubleForce,2,1.0,120.0,Die Force KG
2022,INT_4_TYPE,The no of pins on die,,&DeviceForm_File.iPinOfDie,,10,2000,The no of pins on die
2023,INT_4_TYPE,Die Force Kit Diameter,,&DeviceForm_File.dDieForceKitDiameter,,,,Die Force Kit Diameter
2266,BOOLEAN_TYPE,ContiFail(Socket) Auto Site Off Func,,&TestIF_File.bLowYieldAutoSiteOffByContiFail,1,0,0,0: OFF; 1: ON
2267,BOOLEAN_TYPE,ContiFail(Head) Auto Site Off Func,,&TestIF_File.bLowYieldAutoSiteOffArmContiFail,1,0,0,0: OFF; 1: ON
2268,BOOLEAN_TYPE,By Arm Per Site Differ Yields Auto Site Off Func,,&TestIF_File.bLowYieldAutoSiteOffByArmSite,1,0,0,0: OFF; 1: ON
2269,BOOLEAN_TYPE,By Socket Compare Yield Auto Site Off Func,,&TestIF_File.bLowYieldAutoSiteOff,1,0,0,0: OFF; 1: ON
2270,BOOLEAN_TYPE,By Picker Compare Yield Auto Site Off Func,,&TestIF_File.bLowYieldAutoSiteOffByPicker,1,0,0,0: OFF; 1: ON
2501,FT_8_TYPE,Input Arm Vacuum Wait,Second,&ArmSpeed_File[InArm].dVacuumTI,10,0.01,0.01,Input Arm Vacuum wait time
2502,FT_8_TYPE,Index Arm Vacuum Wait,Second,&ArmSpeed_File[IndexArm].dVacuumTI,10,0.01,0.01,Index Arm Vacuum wait time
2503,FT_8_TYPE,Output Arm Vacuum Wait,Second,&ArmSpeed_File[OutArm].dVacuumTI,10,0.01,0.01,Output Arm Vacuum wait time
2504,FT_8_TYPE,Tray Arm Vacuum Wait,Second,&ArmSpeed_File[TrayArm].dVacuumTI,10,0.01,0.01,Tray Arm Vacuum wait time
2511,FT_8_TYPE,Input Arm Destroy Wait,Second,&ArmSpeed_File[InArm].dCTAirOn,10,0.01,0.01,Input Arm Destroy wait time
2512,FT_8_TYPE,Index Arm Destroy Wait,Second,&ArmSpeed_File[IndexArm].dCTAirOn,10,0.01,0.01,Index Arm Destroy wait time
2513,FT_8_TYPE,Output Arm Destroy Wait,Second,&ArmSpeed_File[OutArm].dCTAirOn,10,0.01,0.01,Output Arm Destroy wait time
2514,FT_8_TYPE,Tray Arm Destroy Wait,Second,&ArmSpeed_File[TrayArm].dCTAirOn,10,0.01,0.01,Tray Arm Destroy wait time
2521,BOOLEAN_TYPE,Input Arm Vacuum Pre On,,&ArmSpeed_File[InArm].bSuckOnDown,,,,Input Arm Vacuum pre-on
2522,BOOLEAN_TYPE,Index Arm Vacuum Pre On,,&ArmSpeed_File[IndexArm].bSuckOnDown,,,,Index Arm Vacuum pre-on
2523,BOOLEAN_TYPE,Output Arm Vacuum Pre On,,&ArmSpeed_File[OutArm].bSuckOnDown,,,,Output Arm Vacuum pre-on
2609,ASCII_TYPE,Device ID,,fLotInfo->edtDevice,,,,Operator ID
2611,INT_4_TYPE,Second Speed,Percentage,&DeviceForm_File.DropSpeed,100,1,1,Second Speed
2613,FT_8_TYPE,Arm1 Drop Height,mm,&DeviceForm_File.IndexDrop[0],30,0,0,Arm1 Drop Height
2614,FT_8_TYPE,Arm2 Drop Height,mm,&DeviceForm_File.IndexDrop[1],30,0,0,Arm2 Drop Height
2615,FT_8_TYPE,Drop Wait Time,Second,&DeviceForm_File.DropWait,60,0,0,Drop Wait Time
2616,INT_4_TYPE,Contact Test Mode for HT9045,,&DeviceForm_File.ContactMode,6,0,0,0:Direct Contact Mode; 1:Drop Contact; 2:Direct & Soft Contact Mode; 3:TMOVE; 4:TMOVE Drop; 5:Direct Soft Contact; 6:Drop Soft Contact;
2617,INT_4_TYPE,Vacuum Mode,,&DeviceForm_File.VacuumMode,1,0,0,0:Vacuum ON Mode; 1:Vacuum OFF Mode;
2618,FT_8_TYPE,Up Wait Time,Second,&DeviceForm_File.UpWait,60,0,0,Up Wait Time
2619,INT_4_TYPE,Up Second Speed,Percentage,&DeviceForm_File.UpSpeed,100,1,1,Up Second Speed
2621,INT_4_TYPE,Pins per device,,&DeviceForm_File.iPinCT,10000,0,50,Pins per device
2622,FT_8_TYPE,Force per pin,G,&DeviceForm_File.ForcePerPinG,20.0,0.1,10.0,Force per pin (gf)
2623,FT_8_TYPE,Arm1 Up Height,mm,&DeviceForm_File.IndexUp[0],30,0,0,Arm1 Up Height
2624,FT_8_TYPE,Arm2 Up Height,mm,&DeviceForm_File.IndexUp[1],30,0,0,Arm2 Up Height
2632,BOOLEAN_TYPE,Height Include Shuttle,,fContact->chkShuttle,1,0,1,Height Include Shuttle
2633,BOOLEAN_TYPE,Shuttle Wait Outside Chamber,,&DeviceForm_File.bShuttleWaitingOutSiteChamber,1,0,0,0: OFF; 1: ON
2634,BOOLEAN_TYPE,Pick Shuttle Device After Tested,,&DeviceForm_File.bSuckShuttleDeviceAfterTested,1,0,0,0: OFF; 1: ON
2635,BOOLEAN_TYPE,Pick Shuttle Device Together (32Site_N),,&DeviceForm_File.bPickShuttleDeviceTogether,1,0,0,0: OFF; 1: ON
2650,INT_4_TYPE,Auto 4 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto4],2,0,0,0:Empty; 1:Color; 2: Auto2 
2651,INT_4_TYPE,Auto 5 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto5],2,0,0,0:Empty; 1:Color; 2: Auto2 
2652,INT_4_TYPE,Auto 6 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto6],2,0,0,0:Empty; 1:Color; 2: Auto2 
2653,INT_4_TYPE,Auto 4 Tray Type for RT,,&TrayForm.AutoFromEmptyColor[RT][eAuto4],2,0,0,0:Empty; 1:Color; 2: Auto2 
2654,INT_4_TYPE,Auto 5 Tray Type for RT,,&TrayForm.AutoFromEmptyColor[RT][eAuto5],2,0,0,0:Empty; 1:Color; 2: Auto2 
2655,INT_4_TYPE,Auto 6 Tray Type for RT,,&TrayForm.AutoFromEmptyColor[RT][eAuto6],2,0,0,0:Empty; 1:Color; 2: Auto2 
2656,INT_4_TYPE,Auto 4 Tray Direction,,&TrayForm.Auto[eAuto4].Direction,3,0,0,Auto 4 Tray Direction
2657,INT_4_TYPE,Auto 5 Tray Direction,,&TrayForm.Auto[eAuto5].Direction,3,0,0,Auto 5 Tray Direction
2658,INT_4_TYPE,Auto 6 Tray Direction,,&TrayForm.Auto[eAuto6].Direction,3,0,0,Auto 6 Tray Direction
2659,INT_4_TYPE,Fix 4 Tray Direction,,&TrayForm.Auto[eFix4].Direction,3,0,0,Fix 4 Tray Direction
2660,INT_4_TYPE,Fix 5 Tray Direction,,&TrayForm.Auto[eFix5].Direction,3,0,0,Fix 5 Tray Direction
2661,INT_4_TYPE,Fix 6 Tray Direction,,&TrayForm.Auto[eFix6].Direction,3,0,0,Fix 6 Tray Direction
2662,INT_4_TYPE,Fix 4 Tray Type Index,,&TrayForm.Auto[eFix4].iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 
2663,INT_4_TYPE,Fix 5 Tray Type Index,,&TrayForm.Auto[eFix5].iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 
2664,INT_4_TYPE,Fix 6 Tray Type Index,,&TrayForm.Auto[eFix6].iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 
2701,INT_4_TYPE,Tray Type,,&TrayForm.LodareType,1,0,0,0:Same; 1:Defferent
2702,INT_4_TYPE,Loader Tray Type,,&TrayForm.LoaderToEmptyColor[FT],2,0,0,0:Empty; 1:Color; 2:Auto2 
2703,INT_4_TYPE,Auto1 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto1],2,0,0,0:Empty; 1:Color; 2:Auto2 
2704,INT_4_TYPE,Auto2 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto2],2,0,0,0:Empty; 1:Color; 2:Auto2 
2705,INT_4_TYPE,Auto3 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto3],2,0,0,0:Empty; 1:Color; 2:Auto2 
2706,INT_4_TYPE,Loader Tray Type for RT,,&TrayForm.LoaderToEmptyColor[RT],2,0,0,0:Empty; 1:Color; 2:Auto2 
2707,INT_4_TYPE,Auto1 Tray Type for RT,,&TrayForm.AutoFromEmptyColor[RT][eAuto1],2,0,0,0:Empty; 1:Color; 2:Auto2 
2708,INT_4_TYPE,Auto2 Tray Type for RT,,&TrayForm.AutoFromEmptyColor[RT][eAuto2],2,0,0,0:Empty; 1:Color; 2:Auto2 
2709,INT_4_TYPE,Auto3 Tray Type for RT,,&TrayForm.AutoFromEmptyColor[RT][eAuto3],2,0,0,0:Empty; 1:Color; 2:Auto2 
2710,INT_4_TYPE,Fix Tray Mode,,&TrayForm.iFixTrayMode,1,0,0,0:Full Bin; 1:Up Down;
2711,INT_4_TYPE,Loader Tray Direction,,&TrayForm.Loader.Direction,3,0,0,Loader Tray Direction
2712,INT_4_TYPE,Loader Tray Mode,,&TrayForm.iManualRemoveLoader,2,0,1,0:None; 1:When Loader had skip device need remove loader tray manually; 2:When Loader had skip device need open the door to check the tray;
2713,BOOLEAN_TYPE,Auto Tray Feed,,&TrayForm.bAutoFeed,1,0,1,
2721,INT_4_TYPE,Auto1 Tray Direction,,&TrayForm.Auto[eAuto1].Direction,3,0,0,Auto1 Tray Direction
2722,INT_4_TYPE,Auto2 Tray Direction,,&TrayForm.Auto[eAuto2].Direction,3,0,0,Auto2 Tray Direction
2723,INT_4_TYPE,Auto3 Tray Direction,,&TrayForm.Auto[eAuto3].Direction,3,0,0,Auto3 Tray Direction
2731,INT_4_TYPE,Fix1 Tray Direction,,&TrayForm.Auto[eFix1].Direction,3,0,0,Fix1 Tray Direction
2732,INT_4_TYPE,Fix2 Tray Direction,,&TrayForm.Auto[eFix2].Direction,3,0,0,Fix2 Tray Direction
2733,INT_4_TYPE,Fix3 Tray Direction,,&TrayForm.Auto[eFix3].Direction,3,0,0,Fix3 Tray Direction
2734,INT_4_TYPE,Loader Tray Type Index,,&TrayForm.Loader.iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 
2735,INT_4_TYPE,Empty Tray Type Index,,&TrayForm.Empty.iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 
2736,INT_4_TYPE,Color Tray Type Index,,&TrayForm.Color.iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 
2737,INT_4_TYPE,Fix1 Tray Type Index,,&TrayForm.Auto[eFix1].iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 
2738,INT_4_TYPE,Fix2 Tray Type Index,,&TrayForm.Auto[eFix2].iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 
2739,INT_4_TYPE,Fix3 Tray Type Index,,&TrayForm.Auto[eFix3].iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 
2758,FT_8_TYPE,Type 1 Tray Pitch X,mm,&UserDefForm_File[0].XPitch,,,,Type 1 Tray Pitch X
2759,FT_8_TYPE,Type 1 Tray Pitch Y,mm,&UserDefForm_File[0].YPitch,,,,Type 1 Tray Pitch Y
2760,FT_8_TYPE,Type 1 Tray Start Position X,mm,&UserDefForm_File[0].XStart,,,,Type 1 Tray Start Position X
2761,FT_8_TYPE,Type 1 Tray Start Position Y,mm,&UserDefForm_File[0].YStart,,,,Type 1 Tray Start Position Y
2762,INT_4_TYPE,Type 1 Tray Division X,,&UserDefForm_File[0].XDivision,,,,Type 1 Tray Division X
2763,INT_4_TYPE,Type 1 Tray Division Y,,&UserDefForm_File[0].YDivision,,,,Type 1 Tray Division Y
2764,FT_8_TYPE,Type 1 Tray Pick Up,mm,&UserDefForm_File[0].iPickUp,,,,Type 1 Tray Pick Up
2766,INT_4_TYPE,Type 1 Tray Block Num X,,&UserDefForm_File[0].BlockNumberX,,,,Type 1 Tray Block Num X
2767,INT_4_TYPE,Type 1 Tray Block Num Y,,&UserDefForm_File[0].BlockNumberY,,,,Type 1 Tray Block Num Y
2768,FT_8_TYPE,Type 1 Tray Block Pitch X,mm,&UserDefForm_File[0].BlockPitchX,,,,Type 1 Tray Block Pitch X
2769,FT_8_TYPE,Type 1 Tray Block Pitch Y,mm,&UserDefForm_File[0].BlockPitchY,,,,Type 1 Tray Block Pitch Y
2771,FT_8_TYPE,Type 2 Tray Pitch X,mm,&UserDefForm_File[1].XPitch,,,,Type 2 Tray Pitch X
2772,FT_8_TYPE,Type 2 Tray Pitch Y,mm,&UserDefForm_File[1].YPitch,,,,Type 2 Tray Pitch Y
2773,FT_8_TYPE,Type 2 Tray Start Position X,mm,&UserDefForm_File[1].XStart,,,,Type 2 Tray Start Position X
2774,FT_8_TYPE,Type 2 Tray Start Position Y,mm,&UserDefForm_File[1].YStart,,,,Type 2 Tray Start Position Y
2775,INT_4_TYPE,Type 2 Tray Division X,,&UserDefForm_File[1].XDivision,,,,Type 2 Tray Division X
2776,INT_4_TYPE,Type 2 Tray Division Y,,&UserDefForm_File[1].YDivision,,,,Type 2 Tray Division Y
2777,FT_8_TYPE,Type 2 Tray Pick Up,mm,&UserDefForm_File[1].iPickUp,,,,Type 2 Tray Pick Up
2778,ASCII_TYPE,Type 2 Tray Memo,,&UserDefForm_File[1].cMemo,,,,Type 2 Tray Memo
2779,INT_4_TYPE,Type 2 Tray Block Num X,,&UserDefForm_File[1].BlockNumberX,,,,Type 2 Tray Block Num X
2780,INT_4_TYPE,Type 2 Tray Block Num Y,,&UserDefForm_File[1].BlockNumberY,,,,Type 2 Tray Block Num Y
2781,FT_8_TYPE,Type 2 Tray Block Pitch X,mm,&UserDefForm_File[1].BlockPitchX,,,,Type 2 Tray Block Pitch X
2782,FT_8_TYPE,Type 2 Tray Block Pitch Y,mm,&UserDefForm_File[1].BlockPitchY,,,,Type 2 Tray Block Pitch Y
2783,ASCII_TYPE,Type 3 Tray Name,,&UserDefForm_File[2].Alias,,,,Type 3 Tray Name
2784,FT_8_TYPE,Type 3 Tray Pitch X,mm,&UserDefForm_File[2].XPitch,,,,Type 3 Tray Pitch X
2785,FT_8_TYPE,Type 3 Tray Pitch Y,mm,&UserDefForm_File[2].YPitch,,,,Type 3 Tray Pitch Y
2786,FT_8_TYPE,Type 3 Tray Start Position X,mm,&UserDefForm_File[2].XStart,,,,Type 3 Tray Start Position X
2787,FT_8_TYPE,Type 3 Tray Start Position Y,mm,&UserDefForm_File[2].YStart,,,,Type 3 Tray Start Position Y
2788,INT_4_TYPE,Type 3 Tray Division X,,&UserDefForm_File[2].XDivision,,,,Type 3 Tray Division X
2789,INT_4_TYPE,Type 3 Tray Division Y,,&UserDefForm_File[2].YDivision,,,,Type 3 Tray Division Y
2790,FT_8_TYPE,Type 3 Tray Pick Up,mm,&UserDefForm_File[2].iPickUp,,,,Type 3 Tray Pick Up
2791,ASCII_TYPE,Type 3 Tray Memo,,&UserDefForm_File[2].cMemo,,,,Type 3 Tray Memo
2792,INT_4_TYPE,Type 3 Tray Block Num X,,&UserDefForm_File[2].BlockNumberX,,,,Type 3 Tray Block Num X
2793,INT_4_TYPE,Type 3 Tray Block Num Y,,&UserDefForm_File[2].BlockNumberY,,,,Type 3 Tray Block Num Y
2794,FT_8_TYPE,Type 3 Tray Block Pitch X,mm,&UserDefForm_File[2].BlockPitchX,,,,Type 3 Tray Block Pitch X
2795,FT_8_TYPE,Type 3 Tray Block Pitch Y,mm,&UserDefForm_File[2].BlockPitchY,,,,Type 3 Tray Block Pitch Y
2796,ASCII_TYPE,Bin Box Name,,&UserDefForm_File[3].Alias,,,,Bin Box Name
2797,INT_4_TYPE,Bin Box Alarm Count,,&UserDefForm_File[3].iBinBoxAlarm,5000,100,100,Bin Box Alarm Count
2798,INT_4_TYPE,Bin Box Current Count,,&LastSet.iBinBoxCount,,5,,Bin Box Current Count
2799,INT_4_TYPE,Device Direction,,&UserDefForm_File[3].iDeviceDirection,,,,0: 0 deg; 1: 90 deg; 2: 180 deg; 3: 270 deg; 
