SVID,Type,Name,Unit,Pointer,Comment
1160,INT_4_TYPE,PassTotalCount,,&iSECSGEMPass,Pass Total Count
1161,INT_4_TYPE,FailTotalCount,,&iSECSGEMFail,Fail Total
1164,INT_4_TYPE,Bin 0 Count,,&LastSet.iBinData32[0][0],Bin 0 Count
1165,INT_4_TYPE,Bin 1 Count,,&LastSet.iBinData32[0][1],Bin 1 Count
1166,INT_4_TYPE,Bin 2 Count,,&LastSet.iBinData32[0][2],Bin 2 Count
1167,INT_4_TYPE,Bin 3 Count,,&LastSet.iBinData32[0][3],Bin 3 Count
1168,INT_4_TYPE,Bin 4 Count,,&LastSet.iBinData32[0][4],Bin 4 Count
1169,INT_4_TYPE,Bin 5 Count,,&LastSet.iBinData32[0][5],Bin 5 Count
1170,INT_4_TYPE,Bin 6 Count,,&LastSet.iBinData32[0][6],Bin 6 Count
1171,INT_4_TYPE,Bin 7 Count,,&LastSet.iBinData32[0][7],Bin 7 Count
1172,INT_4_TYPE,Bin 8 Count,,&LastSet.iBinData32[0][8],Bin 8 Count
1173,INT_4_TYPE,Bin 9 Count,,&LastSet.iBinData32[0][9],Bin 9 Count
1174,INT_4_TYPE,Bin 10 Count,,&LastSet.iBinData32[0][10],Bin 10 Count
1175,INT_4_TYPE,Bin 11 Count,,&LastSet.iBinData32[0][11],Bin 11 Count
1176,INT_4_TYPE,Bin 12 Count,,&LastSet.iBinData32[0][12],Bin 12 Count
1177,INT_4_TYPE,Bin 13 Count,,&LastSet.iBinData32[0][13],Bin 13 Count
1178,INT_4_TYPE,Bin 14 Count,,&LastSet.iBinData32[0][14],Bin 14 Count
1179,INT_4_TYPE,Bin 15 Count,,&LastSet.iBinData32[0][15],Bin 15 Count
1190,ASCII_TYPE,GET OS Tester Data,,&fMain->SVID1190_OSSetup,"Data= Workfile, ClampV, UpLimit, LowLimit, Current, delayms"
1220,INT_4_TYPE,Loader Count AUTO,,&LastSet.SendCT_ART[0],MRT Loading Count
1221,INT_4_TYPE,Output Total Count AUTO,,&RunInfo.iUnloadCount_ART,MRT Unloading Count
1222,INT_4_TYPE,Auto1 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto1],MRT Auto1 Count
1223,INT_4_TYPE,Auto2 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto2],MRT Auto2 Count
1224,INT_4_TYPE,Auto3 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto3],MRT Auto3 Count
1225,INT_4_TYPE,Fix1 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix1 ],MRT Fix1 Count
1226,INT_4_TYPE,Fix2 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix2 ],MRT Fix2 Count
1227,INT_4_TYPE,Fix3 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix3 ],MRT Fix3 Count
1228,INT_4_TYPE,Fix4 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix4 ],MRT Fix4 Count
1229,INT_4_TYPE,Fix5 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix5 ],MRT Fix5 Count
1230,INT_4_TYPE,Fix6 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix6 ],MRT Fix6 Count
1231,INT_4_TYPE,Bin 0 Count AUTO,,&LastSet.iBinData32_ART[0][0],MRT Bin 0 Count
1232,INT_4_TYPE,Bin 1 Count AUTO,,&LastSet.iBinData32_ART[0][1],MRT Bin 1 Count
1233,INT_4_TYPE,Bin 2 Count AUTO,,&LastSet.iBinData32_ART[0][2],MRT Bin 2 Count
1234,INT_4_TYPE,Bin 3 Count AUTO,,&LastSet.iBinData32_ART[0][3],MRT Bin 3 Count
1235,INT_4_TYPE,Bin 4 Count AUTO,,&LastSet.iBinData32_ART[0][4],MRT Bin 4 Count
1236,INT_4_TYPE,Bin 5 Count AUTO,,&LastSet.iBinData32_ART[0][5],MRT Bin 5 Count
1237,INT_4_TYPE,Bin 6 Count AUTO,,&LastSet.iBinData32_ART[0][6],MRT Bin 6 Count
1238,INT_4_TYPE,Bin 7 Count AUTO,,&LastSet.iBinData32_ART[0][7],MRT Bin 7 Count
1239,INT_4_TYPE,Bin 8 Count AUTO,,&LastSet.iBinData32_ART[0][8],MRT Bin 8 Count
1240,INT_4_TYPE,Bin 9 Count AUTO,,&LastSet.iBinData32_ART[0][9],MRT Bin 9 Count
1241,INT_4_TYPE,Bin 10 Count AUTO,,&LastSet.iBinData32_ART[0][10],MRT Bin 10 Count
1242,INT_4_TYPE,Bin 11 Count AUTO,,&LastSet.iBinData32_ART[0][11],MRT Bin 11 Count
1243,INT_4_TYPE,Bin 12 Count AUTO,,&LastSet.iBinData32_ART[0][12],MRT Bin 12 Count
1244,INT_4_TYPE,Bin 13 Count AUTO,,&LastSet.iBinData32_ART[0][13],MRT Bin 13 Count
1245,INT_4_TYPE,Bin 14 Count AUTO,,&LastSet.iBinData32_ART[0][14],MRT Bin 14 Count
1246,INT_4_TYPE,Bin 15 Count AUTO,,&LastSet.iBinData32_ART[0][15],MRT Bin 15 Count
1250,INT_4_TYPE,Enabled Site Count,,&iEnabledSiteCount,Enabled Site Count
1259,INT_4_TYPE,Auto 4 Count,,&LastSet.BinCT[0][e3Auto4],Auto 4 Count
1260,INT_4_TYPE,Auto 5 Count,,&LastSet.BinCT[0][e3Auto5],Auto 5 Count
1261,INT_4_TYPE,Auto 6 Count,,&LastSet.BinCT[0][e3Auto6],Auto 6 Count
1262,INT_4_TYPE,Fix 7 Count,,&LastSet.BinCT[0][e3Fix7 ],Fix 7 Count
1263,INT_4_TYPE,Fix 8 Count,,&LastSet.BinCT[0][e3Fix8 ],Fix 8 Count
1264,INT_4_TYPE,Fix 9 Count,,&LastSet.BinCT[0][e3Fix9 ],Fix 9 Count
1265,INT_4_TYPE,Fix 10 Count,,&LastSet.BinCT[0][e3Fix10],Fix 10 Count
1266,INT_4_TYPE,Fix 11 Count,,&LastSet.BinCT[0][e3Fix11],Fix 11 Count
1267,INT_4_TYPE,Fix 12 Count,,&LastSet.BinCT[0][e3Fix12],Fix 12 Count
1268,INT_4_TYPE,Auto 4 Count ART,,&LastSet.BinCT_ART[0][e3Auto4],ART Auto 4 Count
1269,INT_4_TYPE,Auto 5 Countunt ART,,&LastSet.BinCT_ART[0][e3Auto6],ART Auto 6 Count
1271,INT_4_TYPE,Fix 7 Count ART,,&LastSet.BinCT_ART[0][e3Fix7 ],ART Fix 7 Count
1272,INT_4_TYPE,Fix 8 Count ART,,&LastSet.BinCT_ART[0][e3Fix8 ],ART Fix 8 Count
1273,INT_4_TYPE,Fix 9 Count ART,,&LastSet.BinCT_ART[0][e3Fix9 ],ART Fix 9 Count
1274,INT_4_TYPE,Fix 10 Count ART,,&LastSet.BinCT_ART[0][e3Fix10],ART Fix 10 Count
1275,INT_4_TYPE,Fix 11 Count ART,,&LastSet.BinCT_ART[0][e3Fix11],ART Fix 11 Count
1276,INT_4_TYPE,Fix 12 Count ART,,&LastSet.BinCT_ART[0][e3Fix12],ART Fix 12 Count
1277,ASCII_TYPE,Auto 4 Yield,,&RunInfo.sT6AutoYield[eAuto4],Auto 4 Yield
1278,ASCII_TYPE,Auto 5 Yield,,&RunInfo.sT6AutoYield[eAuto5],Auto 5 Yield
1279,ASCII_TYPE,Auto 6 Yield,,&RunInfo.sT6AutoYield[eAuto6],Auto 6 Yield
1280,ASCII_TYPE,Fix 7 Yield,,&RunInfo.sT6AutoYield[eFix7 ],Fix 7 Yield
1281,ASCII_TYPE,Fix 8 Yield,,&RunInfo.sT6AutoYield[eFix8 ],Fix 8 Yield
1282,ASCII_TYPE,Fix 9 Yield,,&RunInfo.sT6AutoYield[eFix9 ],Fix 9 Yield
1283,ASCII_TYPE,Fix 10 Yield,,&RunInfo.sT6AutoYield[eFix10],Fix 10 Yield
1284,ASCII_TYPE,Fix 11 Yield,,&RunInfo.sT6AutoYield[eFix11],Fix 11 Yield
1285,ASCII_TYPE,Fix 12 Yield,,&RunInfo.sT6AutoYield[eFix12],Fix 12 Yield
1286,INT_4_TYPE,Auto 4 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto4],MRTAuto 4 Count
1287,INT_4_TYPE,Auto 5 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto5],MRTAuto 5 Count
1288,INT_4_TYPE,Auto 6 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto6],MRTAuto 6 Count
1289,INT_4_TYPE,Fix 7 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix7 ],MRTFix 7 Count
1290,INT_4_TYPE,Fix 8 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix8 ],MRTFix 8 Count
1291,INT_4_TYPE,Fix 9 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix9 ],MRTFix 9 Count
1292,INT_4_TYPE,Fix 10 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix10],MRTFix 10 Count
1293,INT_4_TYPE,Fix 11 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix11],MRTFix 11 Count
1294,INT_4_TYPE,Fix 12 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix12],MRTFix 12 Count
1351,ASCII_TYPE,ATC Arm1 Head 1,,fLotInfo->pl_ATCTempHead01,ATC Arm1 Head 1
1352,ASCII_TYPE,ATC Arm1 Head 2,,fLotInfo->pl_ATCTempHead02,ATC Arm1 Head 2
1355,ASCII_TYPE,ATC Arm2 Head 1,,fLotInfo->pl_ATCTempHead03,ATC Arm2 Head 1
1356,ASCII_TYPE,ATC Arm2 Head 2,,fLotInfo->pl_ATCTempHead04,ATC Arm2 Head 2
1359,ASCII_TYPE,ATC Arm1 Ref Head 1,,fLotInfo->pl_ATCRefHead01,ATC Arm1 Ref Head 1
1360,ASCII_TYPE,ATC Arm1 Ref Head 2,,fLotInfo->pl_ATCRefHead02,ATC Arm1 Ref Head 2
1363,ASCII_TYPE,ATC Arm2 Ref Head 1,,fLotInfo->pl_ATCRefHead03,ATC Arm2 Ref Head 1
1364,ASCII_TYPE,ATC Arm2 Ref Head 2,,fLotInfo->pl_ATCRefHead04,ATC Arm2 Ref Head 2
1351,ASCII_TYPE,ATC Arm1 Head 1,,fLotInfo->pl_ATCTempHead01,ATC Arm1 Head 1
1352,ASCII_TYPE,ATC Arm1 Head 2,,fLotInfo->pl_ATCTempHead02,ATC Arm1 Head 2
1353,ASCII_TYPE,ATC Arm1 Head 3,,fLotInfo->pl_ATCTempHead03,ATC Arm1 Head 3
1354,ASCII_TYPE,ATC Arm1 Head 4,,fLotInfo->pl_ATCTempHead04,ATC Arm1 Head 4
1355,ASCII_TYPE,ATC Arm2 Head 1,,fLotInfo->pl_ATCTempHead05,ATC Arm2 Head 1
1356,ASCII_TYPE,ATC Arm2 Head 2,,fLotInfo->pl_ATCTempHead06,ATC Arm2 Head 2
1357,ASCII_TYPE,ATC Arm2 Head 3,,fLotInfo->pl_ATCTempHead07,ATC Arm2 Head 3
1358,ASCII_TYPE,ATC Arm2 Head 4,,fLotInfo->pl_ATCTempHead08,ATC Arm2 Head 4
1359,ASCII_TYPE,ATC Arm1 Ref Head 1,,fLotInfo->pl_ATCRefHead01,ATC Arm1 Ref Head 1
1360,ASCII_TYPE,ATC Arm1 Ref Head 2,,fLotInfo->pl_ATCRefHead02,ATC Arm1 Ref Head 2
1361,ASCII_TYPE,ATC Arm1 Ref Head 3,,fLotInfo->pl_ATCRefHead03,ATC Arm1 Ref Head 3
1362,ASCII_TYPE,ATC Arm1 Ref Head 4,,fLotInfo->pl_ATCRefHead04,ATC Arm1 Ref Head 4
1363,ASCII_TYPE,ATC Arm2 Ref Head 1,,fLotInfo->pl_ATCRefHead05,ATC Arm2 Ref Head 1
1364,ASCII_TYPE,ATC Arm2 Ref Head 2,,fLotInfo->pl_ATCRefHead06,ATC Arm2 Ref Head 2
1365,ASCII_TYPE,ATC Arm2 Ref Head 3,,fLotInfo->pl_ATCRefHead07,ATC Arm2 Ref Head 3
1366,ASCII_TYPE,ATC Arm2 Ref Head 4,,fLotInfo->pl_ATCRefHead08,ATC Arm2 Ref Head 4
1420,ASCII_TYPE,Site 1 to 32 Test Result,,fMain->tTestResult,Site 1 to 32 Test Result; Bin -1 is no test; CSV Format
1432,INT_4_TYPE,Arm 1 Contact Count,,&LastSet.iContactCT[0],Arm 1 Contact Count
1433,INT_4_TYPE,Arm 2 Contact Count,,&LastSet.iContactCT[1],Arm 2 Contact Count
1451,ASCII_TYPE,Auto1 Test Bin,,&sSVBinAssign[eAuto1],Auto 1 Test Bin
1452,ASCII_TYPE,Auto2 Test Bin,,&sSVBinAssign[eAuto2],Auto 2 Test Bin
1453,ASCII_TYPE,Auto3 Test Bin,,&sSVBinAssign[eAuto3],Auto 3 Test Bin
1454,ASCII_TYPE,Fix1 Test Bin,,&sSVBinAssign[eFix1],Fix 1 Test Bin
