"File","FullPath","Line","Code","Divisor"
"TfAOILaserScan.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\TfAOILaserScan.cpp","1181","mTray->SetCellColorIndex(i%iCol, i/iCol, 0);","iCol"
"TfAOILaserScan.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\TfAOILaserScan.cpp","1184","mTray->SetCellColorIndex(i%iCol, i/iCol, 1);","iCol"
"TfAOILaserScan.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\TfAOILaserScan.cpp","1187","mTray->SetCellColorIndex(i%iCol, i/iCol, HAS_OCR_NG);","iCol"
"uLotInfo.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\uLotInfo.cpp","190","iRow=i/MAX_SOCKET_COL;","MAX_SOCKET_COL"
"uYieldMonitoring.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\uYieldMonitoring.cpp","3621","dSiteYield[i][j]=dYield/dSiteCount;","dSiteCount"
"auto9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Automation\auto9045.cpp","1617","int j=i/NEW_MAX_Index_Col, k=i%NEW_MAX_Index_Col;","NEW_MAX_Index_Col"
"auto9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Automation\auto9045.cpp","1675","int j=i/NEW_MAX_Index_Col, k=i%NEW_MAX_Index_Col, y=x*8+i;","NEW_MAX_Index_Col"
"mainAT.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Automation\mainAT.cpp","684","int j=i/MAX_Index_Col, k=i%MAX_Index_Col;","MAX_Index_Col"
"mainAT.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Automation\mainAT.cpp","725","int j=i/MAX_Index_Col, k=i%MAX_Index_Col, y=x*8+i;","MAX_Index_Col"
"InOutArmZteach.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\AutoTeach\InOutArmZteach.cpp","3225","dXScale=double(iJigXDis)/X_Dis;","X_Dis"
"BarCode.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\BarCode\BarCode.cpp","5564","rate1=double(PassCount1*100.0/Count1);","Count1"
"GroundMan.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\GroundMan\GroundMan.cpp","1432","int iT=iAlarm_Continuous_Time/iAlarm_Occurrences;","iAlarm_Occurrences"
"HTMC88X1Motor.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Motor\HTMC88X1Motor.cpp","660","dMC88X1Acc = ( iSpeed*Range - InitSpeed*Range ) / dAcc;","dAcc"
"mymotor.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Motor\mymotor.cpp","323","return (double) P/S;","S"
"mymotor.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Motor\mymotor.cpp","6634","dPos4=(dPos3-(double)iMagneticScalePos[iMove+1][j])/dPos1;","dPos1"
"mymotor.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Motor\mymotor.cpp","6665","dPos4=(dPos3-iMagneticScalePos[iMove+1][j])/dPos1;","dPos1"
"ProductionInfo.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\ProductionInfo\ProductionInfo.cpp","633","sMTBA=IntToStr(_iOEE_RunTime/_iOEE_JamCount);","_iOEE_JamCount"
"ProductionInfo.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\ProductionInfo\ProductionInfo.cpp","651","sMTBF=IntToStr(_iOEE_RunTime/_iOEE_ServiceCount);","_iOEE_ServiceCount"
"ProductionInfo.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\ProductionInfo\ProductionInfo.cpp","2197","iAutoClean_IntervalContact_Server=(int)(3600/dTestTime/iReleaseSite);","dTestTime"
"ProductionInfo.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\ProductionInfo\ProductionInfo.cpp","2197","iAutoClean_IntervalContact_Server=(int)(3600/dTestTime/iReleaseSite);","iReleaseSite"
"uPAT_Function.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\ProductionInfo\uPAT_Function.cpp","451","int jamRate=(jamCount*10000)/sendCT;","sendCT"
"HTEditList.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Public\HTEditList.cpp","2317","iPlateC[i/MAX_ARM_Col][i%MAX_ARM_Col]=item->valueint;","MAX_ARM_Col"
"HTEditList.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Public\HTEditList.cpp","2353","iPlateR[i/MAX_ARM_Col][i%MAX_ARM_Col]=item->valueint;","MAX_ARM_Col"
"HTEditList.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Public\HTEditList.cpp","2389","iSite[i/MAX_ARM_Col][i%MAX_ARM_Col]=item->valueint;","MAX_ARM_Col"
"HTEditList.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Public\HTEditList.cpp","2425","bSuck[i/MAX_ARM_Col][i%MAX_ARM_Col]=(item->valueint==1)?true:false;","MAX_ARM_Col"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1611","StoreToReceiveString((ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1613","S.sprintf(""<U%d[%d] "", TypeSize, (ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1640","S.sprintf(""<U%d[%d] "", TypeSize, (ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1641","StoreToReceiveString(ItemSize/TypeSize);","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1643","for(j=0; j<(ItemSize/TypeSize); j++)","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1670","StoreToReceiveString((ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1672","S.sprintf(""<I%d[%d] "", TypeSize, (ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1673","for(j=0; j<(ItemSize/TypeSize); j++)","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1703","StoreToReceiveString((ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1705","S.sprintf(""<I%d[%d] "", TypeSize, (ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1706","for(j=0; j<(ItemSize/TypeSize); j++)","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1735","StoreToReceiveString((ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1737","S.sprintf(""<I%d[%d] "", TypeSize, (ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1738","for(j=0; j<(ItemSize/TypeSize); j++)","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1767","StoreToReceiveString((ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1769","S.sprintf(""<I%d[%d] "", TypeSize, (ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1770","for(j=0; j<(ItemSize/TypeSize); j++)","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1799","StoreToReceiveString((ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1801","S.sprintf(""<F%d[%d] "", TypeSize, (ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1802","for(j=0; j<(ItemSize/TypeSize); j++)","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1831","StoreToReceiveString((ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1833","S.sprintf(""<F%d[%d] "", TypeSize, (ItemSize/TypeSize));","TypeSize"
"uHGemEquipment.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SECSGEM\uHGemEquipment.cpp","1834","for(j=0; j<(ItemSize/TypeSize); j++)","TypeSize"
"SortingBinTray.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SortingBinTray\SortingBinTray.cpp","1481","iTX = iLineX + (iPosXSuck / TrayData.iXPitch);","TrayData"
"SortingBinTray.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SortingBinTray\SortingBinTray.cpp","1485","iTY = iLineY + (iPosYSuck / TrayData.iYPitch);","TrayData"
"SortingBinTray.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SortingBinTray\SortingBinTray.cpp","1647","iTX = iLineX + (iPosXSuck / TrayData.iXPitch);","TrayData"
"SortingBinTray.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\SortingBinTray\SortingBinTray.cpp","1652","iTY = iLineY + (iPosYSuck / TrayData.iYPitch);","TrayData"
